Site_ID,Sector_ID,Cell_ID,Vendor,Antenna_model,Azimuth,Frequency,Polarization ,Tilt,Antenna_Height,Antenna_Power,Antenna_receiver_sensitivity_dbm,Antenna_horizontal_beamwidth,Antenna_vertical_beamwidth,Front_to_back_ratio_dB,
MW0301,MW0301-1,3011,Kathrein,742266,100,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,38,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28,
MW0301,MW0301-2,3012,Kathrein,742266,210,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,38,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.3,> 26 & > 28,
MW0301,MW0301-3,3013,Kathrein,742266,290,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,38,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.4,> 26 & > 28,
MW0302,MW0302-1,3021,Kathrein,742266,40,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,4,60,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.5,> 26 & > 28,
MW0302,MW0302-2,3022,Kathrein,742266,200,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,60,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.6,> 26 & > 28,
MW0302,MW0302-3,3023,Kathrein,742266,300,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,60,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.7,> 26 & > 28,
MW0303,MW0303-1,3031,Andrew,DBXLH-6565C-VTM,70,824Ð960MHz&1710Ð2180,Dual Polarization,2,30,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW0303,MW0303-2,3032,Andrew,DBXLH-6565C-VTM,210,824Ð960MHz&1710Ð2180,Dual Polarization,3,30,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW0303,MW0303-3,3033,Andrew,DBXLH-6565C-VTM,330,824Ð960MHz&1710Ð2180,Dual Polarization,2,30,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW0305,MW0305-1,3051,Kathrein,742266,60,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,35,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.11,> 26 & > 28,
MW0305,MW0305-2,3052,Kathrein,742266,140,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,35,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.12,> 26 & > 28,
MW0305,MW0305-3,3053,Kathrein,742266,320,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,35,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.13,> 26 & > 28,
MW0307,MW0307-1,3071,Kathrein,742266,90,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,27,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.14,> 26 & > 28,
MW0307,MW0307-2,3072,Kathrein,742266,180,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,27,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.15,> 26 & > 28,
