Site_ID,Sector_ID,Cell_ID,Vendor,Antenna_model,Azimuth,Frequency,Polarization ,Tilt,Antenna_Height,Antenna_Power,Antenna_receiver_sensitivity_dbm,Antenna_horizontal_beamwidth,Antenna_vertical_beamwidth,Front_to_back_ratio_dB
MW0010,MW0010-1,14431,Rosenberger,BA-G6W9W9X65V-00M,0,,,2,50,40W,,,,
MW0010,MW0010-2,14432,Rosenberger,BA-G6W9W9X65V-00M,120,,,2,50,40W,,,,
MW0010,MW0010-3,14433,Rosenberger,BA-G6W9W9X65V-00M,200,,,2,50,40W,,,,
MW0010,MW0010-1,14435,Rosenberger,BA-G6W9W9X65V-00M,0,,,2,50,40W,,,,
MW0010,MW0010-2,14436,Rosenberger,BA-G6W9W9X65V-00M,120,,,2,50,40W,,,,
MW0010,MW0010-3,14437,Rosenberger,BA-G6W9W9X65V-00M,200,,,2,50,40W,,,,
MW0010,MW0010-1,104,Rosenberger,BA-G6W9W9X65V-00M,0,,,2,50,40W,,,,
MW0010,MW0010-2,105,Rosenberger,BA-G6W9W9X65V-00M,120,,,2,50,40W,,,,
MW0010,MW0010-3,106,Rosenberger,BA-G6W9W9X65V-00M,200,,,2,50,40W,,,,
MW0557,MW0557-1,8901,Agisson,A19451801,0,1710-2170MHz,Dual Polarization,2,22,40W,,62,6.2,>30db
MW0557,MW0557-2,8902,Agisson,A19451801,140,1710-2170MHz,Dual Polarization,2,22,40W,,62,6.2,>30db
MW0557,MW0557-3,8903,Agisson,A19451801,260,1710-2170MHz,Dual Polarization,2,22,40W,,62,6.2,>30db
MW0557,MW0557-1,8905,Agisson,A19451801,0,1710-2170MHz,Dual Polarization,2,22,40W,,62,6.2,>30db
MW0557,MW0557-2,8906,Agisson,A19451801,140,1710-2170MHz,Dual Polarization,2,22,40W,,62,6.2,>30db
MW0557,MW0557-3,8907,Agisson,A19451801,260,1710-2170MHz,Dual Polarization,2,22,40W,,62,6.2,>30db
MW0557,MW0557-1,5574,Kathrein,742266,0,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,22,40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0557,MW0557-2,5575,Kathrein,742266,140,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,22,60W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW0557,MW0557-3,5576,Kathrein,742266,260,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,22,40W,,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.2,> 26 & > 28
MW6047,MW6047-1,9961,Huawei,ATR451607,70,790-2690MHzÊ,3xDual Polarization,2,28,40W,,60,4.3,28db
MW6047,MW6047-2,9962,Huawei,ATR451607,170,790-2690MHzÊ,3xDual Polarization,2,28,40W,,60,4.3,28db
MW6047,MW6047-3,9963,Huawei,ATR451607,350,790-2690MHzÊ,3xDual Polarization,2,28,40W,,60,4.3,28db
MW6047,MW6047-1,9965,Huawei,ATR451607,70,790-2690MHzÊ,3xDual Polarization,2,28,40W,,60,4.3,28db
MW6047,MW6047-2,9966,Huawei,ATR451607,170,790-2690MHzÊ,3xDual Polarization,2,28,40W,,60,4.3,28db
