cellID,latitude,longitude,band,antenna,height,azimuth,etilt,mtilt
107,-14.345600,34.548500,1800DCS,BA-G6W9W9X65V-00M,50,0,0,2
108,-14.345600,34.548500,1800DCS,BA-G6W9W9X65V-00M,50,120,0,2
109,-14.345600,34.548500,1800DCS,BA-G6W9W9X65V-00M,50,200,0,2
5577,-15.808040,35.058700,1800DCS,742266,22,0,0,2
5578,-15.808040,35.058700,1800DCS,742266,22,140,0,2
5579,-15.808040,35.058700,1800DCS,742266,22,260,0,2
60477,-13.965300,33.786800,1800DCS,ATR451607,28,70,0,2
60478,-13.965300,33.786800,1800DCS,ATR451607,28,170,0,2
60479,-13.965300,33.786800,1800DCS,ATR451607,28,350,0,2
60027,-13.892975,33.800947,1800DCS,TBXLHA-6565DC-VTM,38,80,0,2
60028,-13.892975,33.800947,1800DCS,TBXLHA-6565DC-VTM,38,160,0,2
60029,-13.892975,33.800947,1800DCS,TBXLHA-6565DC-VTM,38,320,0,2
60007,-16.391426,34.893959,1800DCS,TBXLHA-6565DC-VTM,48,0,0,4
60008,-16.391426,34.893959,1800DCS,TBXLHA-6565DC-VTM,48,120,0,4
60009,-16.391426,34.893959,1800DCS,TBXLHA-6565DC-VTM,48,240,0,4
40267,-15.785027,35.000609,1800DCS,APXVBLL26EX_43-C-I20,20,90,0,2
40268,-15.785027,35.000609,1800DCS,APXVBLL26EX_43-C-I20,20,210,0,2
40269,-15.785027,35.000609,1800DCS,APXVBLL26EX_43-C-I20,20,330,0,2
40217,-15.002950,34.950010,1800DCS,APXVBLL26EX_43-C-I20,45,20,0,2
40218,-15.002950,34.950010,1800DCS,APXVBLL26EX_43-C-I20,45,140,0,2
40219,-15.002950,34.950010,1800DCS,APXVBLL26EX_43-C-I20,45,260,0,2
3227,-13.939600,33.803900,1800DCS,DBXLH-6565C-VTM,40,60,0,2
3228,-13.939600,33.803900,1800DCS,DBXLH-6565C-VTM,40,170,0,2
