Cell ID Num;Alpha Cell ID;*eNodeB ID;*Local Cell ID;Vendor;eNodeB ID;eNodeB Name;Cell Name;eCGI;4T4R Cells / 2T2R Cells;Band;Frequency Band;Bandwidth;EUARFCNDL;PCI;TAC;Longitude;Latitude;Azimuth;E-DownTilt;M-DownTilt;Height
10000;KA1000M1;1000;0;Huawei;KA1000;KA1000-Airtel House;KA1000-Airtel House_M1;641-01-1000-00;2T2R;L1800;3;5MHz;1575;264;2805;32.5957;0.31953;60;0;5;24
10001;KA1000N1;1000;1;Huawei;KA1000;KA1000-Airtel House;KA1000-Airtel House_N1;641-01-1000-01;2T2R;L1800;3;5MHz;1575;266;2805;32.5957;0.31953;260;0;6;24
10002;KA1000O1;1000;2;Huawei;KA1000;KA1000-Airtel House;KA1000-Airtel House_O1;641-01-1000-02;2T2R;L1800;3;5MHz;1575;265;2805;32.5957;0.31953;350;0;4;24
10010;KA1001M1;1001;0;Huawei;KA1001;KA1001-Kololo Hill Lane;KA1001-Kololo Hill Lane_M1;641-01-1001-00;2T2R;L1800;3;5MHz;1575;275;6902;32.59339;0.33384;110;0;8;33
10011;KA1001N1;1001;1;Huawei;KA1001;KA1001-Kololo Hill Lane;KA1001-Kololo Hill Lane_N1;641-01-1001-01;2T2R;L1800;3;5MHz;1575;274;6902;32.59339;0.33384;220;0;6;33
10012;KA1001O1;1001;2;Huawei;KA1001;KA1001-Kololo Hill Lane;KA1001-Kololo Hill Lane_O1;641-01-1001-02;2T2R;L1800;3;5MHz;1575;273;6902;32.59339;0.33384;310;0;8;33
10020;KA1002M1;1002;0;Huawei;KA1002;KA1002-Namirembe1;KA1002-Namirembe1_M1;641-01-1002-00;2T2R;L1800;3;5MHz;1575;49;6901;32.56017;0.31723;80;0;8;20
10021;KA1002N1;1002;1;Huawei;KA1002;KA1002-Namirembe1;KA1002-Namirembe1_N1;641-01-1002-01;2T2R;L1800;3;5MHz;1575;50;6901;32.56017;0.31723;200;0;7;20
10022;KA1002O1;1002;2;Huawei;KA1002;KA1002-Namirembe1;KA1002-Namirembe1_O1;641-01-1002-02;2T2R;L1800;3;5MHz;1575;48;6901;32.56017;0.31723;320;0;8;20
10040;KA1004M1;1004;0;Huawei;KA1004;KA1004-Bweyogerere Gwatiro;KA1004-Bweyogerere Gwatiro_M1;641-01-1004-00;2T2R;L1800;3;5MHz;1575;110;7902;32.6602;0.352797;100;0;4;15
10041;KA1004N1;1004;1;Huawei;KA1004;KA1004-Bweyogerere Gwatiro;KA1004-Bweyogerere Gwatiro_N1;641-01-1004-01;2T2R;L1800;3;5MHz;1575;108;7902;32.6602;0.352797;200;0;3;15
10042;KA1004O1;1004;2;Huawei;KA1004;KA1004-Bweyogerere Gwatiro;KA1004-Bweyogerere Gwatiro_O1;641-01-1004-02;2T2R;L1800;3;5MHz;1575;109;7902;32.6602;0.352797;300;0;2;15
10060;KA1006M1;1006;0;Huawei;KA1006;KA1006-Buziga;KA1006-Buziga_M1;641-01-1006-00;2T2R;L1800;3;5MHz;1575;49;7903;32.61511;0.25486;0;0;4;34
10061;KA1006N1;1006;1;Huawei;KA1006;KA1006-Buziga;KA1006-Buziga_N1;641-01-1006-01;2T2R;L1800;3;5MHz;1575;48;7903;32.61511;0.25486;130;0;4;34
10062;KA1006O1;1006;2;Huawei;KA1006;KA1006-Buziga;KA1006-Buziga_O1;641-01-1006-02;2T2R;L1800;3;5MHz;1575;50;7903;32.61511;0.25486;240;0;0;34
10070;KA1007M1;1007;0;Huawei;KA1007;KA1007-Wakiso;KA1007-Wakiso_M1;641-01-1007-00;2T2R;L1800;3;5MHz;1575;237;7803;32.478329;0.405845;80;0;3;48
