PK_Site_ID,Sitename,Longitude,Latitude,Site_Technology,Transmission,Landlord,Diesel_Generator,Solar_Power,ESCOM_Main_Grid,Clutter_class 
MW0208, BALAKA , 34.956220 ,-14.989830 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Residential
MW5581, BEMBEKE , 34.427880 ,-14.357550 , 2G+3G+4G ,Access,Airtel, YES ,No,Yes,Residential
MW0258, BILIRA , 34.846860 ,-14.829250 , 2G+3G+4G ,Access,Airtel, YES ,Yes,Yes,Rural
MW0502, CAPEMACLEAR , 34.834183 ,-14.029848 , 2G+3G+4G ,Access,Airtel, YES ,No,Yes,Rural
MW5926, CFACTORYCOW , 35.030727 ,-14.334634 , 2G+3G+4G ,Access,Airtel, YES ,No,Yes,Rural
MW0257, CHIENDAUSIKU , 35.050043 ,-15.018749 , 2G+3G+4G ,Backbone,Airtel, YES ,Yes,No,Rural
MW0530, CHIKWEWU , 35.669790 ,-14.780950 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Rural
MW0110, CHILIPA , 34.963955 ,-14.701797 , 2G+3G+4G ,Backbone,Airtel, YES ,Yes,No,Rural
MW0269, CHIMWALA , 35.181273 ,-14.622777 , 2G+3G+4G ,Backbone,Airtel, YES ,No,Yes,Rural
MW0209, CHINGENI , 34.893663 ,-14.958073 , 2G+3G+4G ,Backbone,Airtel, YES ,No,Yes,Residential
MW0501, CHINGOMBE , 34.953164 ,-14.222528 , 2G+3G+4G ,Backbone,Airtel, YES ,No,Yes,Rural
MW0406, CHIPOKA , 34.515041 ,-13.994521 , 2G+3G+4G ,Backbone,Airtel, YES ,No,Yes,Residential
MW0512, CHIPONDE , 35.572552 ,-14.371124 , 2G+3G+4G ,Access,Airtel, YES ,No,Yes,Residential
MW0163, CHIRINGA , 35.740974 ,-15.755605 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Rural
MW5309, CHOWE , 35.382668 ,-14.423324 , 2G+3G+4G ,Access,Airtel, YES ,Yes,Yes,Rural
MW0351, DEDZA , 34.323700 ,-14.362500 , 2G+3G+4G ,Backbone,MTL, YES ,No,Yes,Residential
MW5605, DEDZAMARKET , 34.334630 ,-14.390530 , 2G+3G+4G ,Access,Airtel, YES ,Yes,Yes,Residential
MW0417, DEDZATOWN , 34.319134 ,-14.384786 , 2G+3G+4G ,Access,Airtel, YES ,No,Yes,Residential
MW0203, DOMASI , 35.388717 ,-15.276585 , 2G+3G+4G ,Backbone,TNM, YES ,No,Yes,Residential
MW0330, GOLOMOTI , 34.600070 ,-14.424869 , 2G+3G+4G ,Backbone,Airtel, YES ,No,Yes,Rural
MW0215, JALI , 35.485361 ,-15.471750 , 2G+3G+4G ,Backbone,Airtel, YES ,No,Yes,Rural
MW0230, KAMPEPUZA , 34.779427 ,-14.869092 , 2G+3G+4G ,Access,Airtel, YES ,No,Yes,Rural
MW5200, KANDEU , 34.618400 ,-14.605400 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
