Cell_ID;Dl Freq;Ul Freq;Azimuth;Tilt_Electrical;Tilt_Mechanical;Antenna height_m_;Longitude;Latitude
FDD_ADL_House_1;1347;;20;3;0;30;33.79294;-13.96216
FDD_ADL_House_2;1347;;220;3;0;30;33.79294;-13.96216
FDD_Adventist_Hospital_1;1347;;0;1;0;32;35.00375;-15.78221
FDD_Adventist_Hospital_2;1347;;180;2;0;32;35.00375;-15.78221
FDD_Adventist_Hospital_3;1347;;290;1;0;36;35.00375;-15.78221
FDD_AHL_1;1347;;0;0;0;0;33.79999;-13.89321
FDD_AHL_2;1347;;0;0;0;0;33.79999;-13.89321
FDD_AHL_3;1347;;0;0;0;0;33.79999;-13.89321
FDD_Airport_Road_1;1347;;0;4;0;38;33.80707;-13.82432
FDD_Alimenda_1;1347;;0;2;0;30;34.89381;-16.39164
FDD_Area_10_Dam_1;1347;;0;0;0;0;33.80375;-13.93971
FDD_Area_10_Dam_2;1347;;0;0;0;0;33.80375;-13.93971
FDD_Area_10_Dam_3;1347;;0;0;0;0;33.80375;-13.93971
FDD_Area_10_PTC_1;1347;;0;3;0;30;33.79219;-13.93777
FDD_Area_10_PTC_2;1347;;120;3;0;30;33.79219;-13.93777
FDD_Area_10_PTC_3;1347;;240;3;0;30;33.79219;-13.93777
FDD_Area_12_Villa_1;1347;;0;3;0;30;33.81202;-13.96106
FDD_Area_12_Villa_2;1347;;180;3;0;30;33.81202;-13.96106
FDD_Area_12_Villa_3;1347;;270;3;0;30;33.81202;-13.96106
FDD_Area_12_Zikomo_Flowers_1;1347;;0;0;0;0;33.82005;-13.95287
FDD_Area_12_Zikomo_Flowers_2;1347;;0;0;0;0;33.82005;-13.95287
FDD_Area_14_Red_Cross_1;1347;;0;0;0;0;33.781866;-13.95511
FDD_Area_14_Red_Cross_2;1347;;0;0;0;0;33.781866;-13.95511
FDD_Area_14_Red_Cross_3;1347;;0;0;0;0;33.781866;-13.95511
FDD_Area_15_1;1347;;0;0;0;30;33.7643;-13.96424
FDD_Area_15_2;1347;;120;0;0;30;33.7643;-13.96424
FDD_Area_15_3;1347;;240;0;0;30;33.7643;-13.96424
FDD_Area_18A_1;1347;;70;3;0;30;33.77909;-13.9355
FDD_Area_18A_2;1347;;140;3;0;30;33.77909;-13.9355
FDD_Area_18A_3;1347;;210;3;0;30;33.77909;-13.9355
FDD_Area_18B_1;1347;;320;4;0;22;33.77316;-13.94219
FDD_Area_18B_2;1347;;90;6;0;22;33.77316;-13.94219
FDD_Area_18B_3;1347;;200;4;0;22;33.77316;-13.94219
FDD_Area_2_Bwalolanjobvu_1;1347;;40;3;0;30;33.78138;-13.99008
FDD_Area_2_Bwalolanjobvu_2;1347;;180;3;0;30;33.78138;-13.99008
FDD_Area_2_Bwalolanjobvu_3;1347;;270;3;0;30;33.78138;-13.99008
FDD_Area_2_Mchesi_1;1347;;0;3;0;30;33.79004;-13.98846
FDD_Area_2_Mchesi_2;1347;;160;2;0;30;33.79004;-13.98846
FDD_Area_2_Mchesi_3;1347;;240;2;0;30;33.79004;-13.98846
FDD_Area_23_Don_Bosco_1;1347;;0;2;0;30;33.8219;-14.015
FDD_Area_23_Don_Bosco_2;1347;;120;2;0;30;33.8219;-14.015
FDD_Area_23_Lower_Midland_1;1347;;0;0;0;0;33.80853;-14.00775
FDD_Area_23_Lower_Midland_2;1347;;0;0;0;0;33.80853;-14.00775
FDD_Area_23_Lower_Midland_3;1347;;0;0;0;0;33.80853;-14.00775
FDD_Area_23_Tambalale_1;1347;;50;0;0;30;33.83549;-13.99762
FDD_Area_23_Tambalale_2;1347;;280;0;0;30;33.83549;-13.99762
FDD_Area_23_Tambalale_3;1347;;320;0;0;30;33.83549;-13.99762
FDD_Area_23_Tank_1;1347;;100;3;0;30;33.82394;-14.00432
FDD_Area_23_Tank_2;1347;;220;3;0;30;33.82394;-14.00432
FDD_Area_24_Market_1;1347;;90;3;0;30;33.80305;-14.02332
FDD_Area_24_Market_2;1347;;204;3;0;30;33.80305;-14.02332
FDD_Area_24_Market_3;1347;;340;3;0;30;33.80305;-14.02332
FDD_Area_25_Nazarene_1;1347;;0;2;0;30;33.77185;-13.88761
FDD_Area_25_Nazarene_2;1347;;120;2;0;30;33.77185;-13.88761
FDD_Area_25_Sector_3_1;1347;;0;2;0;30;33.76547;-13.87469
FDD_Area_25_Sector_3_2;1347;;120;2;0;30;33.76547;-13.87469
FDD_Area_25_Sector_4_Dzenza_1;1347;;0;0;0;0;33.777026;-13.877674
FDD_Area_25_Sector_4_Dzenza_2;1347;;0;0;0;0;33.777026;-13.877674
FDD_Area_25_Sector_4_Dzenza_3;1347;;0;0;0;0;33.777026;-13.877674
FDD_Area_25A_1;1347;;0;3;0;30;33.7567;-13.89423
